0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:17:58 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:17:58 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:17:58 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:17:59 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:17:59 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:17:59 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:17:59 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:17:59 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:19:00 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:19:00 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:19:00 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:19:58 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:19:58 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:19:58 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:21:10 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:21:10 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:21:10 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:22:30 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:22:30 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:22:30 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:22:53 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:22:53 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:22:53 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:30 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:30 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:30 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:31 +0100] "GET /Ejercicio4Web/ejercicio2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:31 +0100] "GET /Ejercicio4Web/css/cssEj2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:31 +0100] "GET /Ejercicio4Web/images/user_icon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:31 +0100] "GET /Ejercicio4Web/images/aplicacion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:31 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:34 +0100] "GET /Ejercicio4Web/ejercicio3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:34 +0100] "GET /Ejercicio4Web/css/cssEj3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:34 +0100] "GET /Ejercicio4Web/images/conce2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:34 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:58 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:58 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:24:58 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:25:57 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:25:57 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:25:57 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:29 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:29 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:29 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:43 +0100] "GET /Ejercicio4Web/ejercicio2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:43 +0100] "GET /Ejercicio4Web/css/cssEj2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:43 +0100] "GET /Ejercicio4Web/images/user_icon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:43 +0100] "GET /Ejercicio4Web/images/aplicacion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:43 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:44 +0100] "GET /Ejercicio4Web/ejercicio3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:44 +0100] "GET /Ejercicio4Web/images/conce2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:44 +0100] "GET /Ejercicio4Web/css/cssEj3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:27:44 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
